timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749800142157,1076,Launch Wikipedia,200,OK,Thread Group 1-3,text,true,,23590,451,20,20,https://www.wikipedia.org/,1063,0,968
1749800142334,900,Launch Wikipedia,200,OK,Thread Group 1-8,text,true,,23590,451,20,20,https://www.wikipedia.org/,886,0,792
1749800142686,547,Launch Wikipedia,200,OK,Thread Group 1-15,text,true,,23590,451,20,20,https://www.wikipedia.org/,534,0,440
1749800142536,698,Launch Wikipedia,200,OK,Thread Group 1-12,text,true,,23590,451,20,20,https://www.wikipedia.org/,684,0,589
1749800142186,1049,Launch Wikipedia,200,OK,Thread Group 1-5,text,true,,23590,451,20,20,https://www.wikipedia.org/,1034,0,946
1749800142156,1076,Launch Wikipedia,200,OK,Thread Group 1-2,text,true,,23590,451,20,20,https://www.wikipedia.org/,1063,0,962
1749800142885,348,Launch Wikipedia,200,OK,Thread Group 1-19,text,true,,23590,451,20,20,https://www.wikipedia.org/,335,0,231
1749800142285,949,Launch Wikipedia,200,OK,Thread Group 1-7,text,true,,23590,451,20,20,https://www.wikipedia.org/,935,0,847
1749800142635,602,Launch Wikipedia,200,OK,Thread Group 1-14,text,true,,23590,451,20,20,https://www.wikipedia.org/,585,0,496
1749800142385,852,Launch Wikipedia,200,OK,Thread Group 1-9,text,true,,23590,451,20,20,https://www.wikipedia.org/,835,0,747
1749800142486,751,Launch Wikipedia,200,OK,Thread Group 1-11,text,true,,23590,451,20,20,https://www.wikipedia.org/,734,0,646
1749800142836,397,Launch Wikipedia,200,OK,Thread Group 1-18,text,true,,23590,451,20,20,https://www.wikipedia.org/,384,0,291
1749800142736,501,Launch Wikipedia,200,OK,Thread Group 1-16,text,true,,23590,451,20,20,https://www.wikipedia.org/,484,0,396
1749800142584,654,Launch Wikipedia,200,OK,Thread Group 1-13,text,true,,23590,451,20,20,https://www.wikipedia.org/,636,0,548
1749800142156,1083,Launch Wikipedia,200,OK,Thread Group 1-1,text,true,,23590,451,20,20,https://www.wikipedia.org/,1063,0,975
